Id,RiskId,Provider,Species,AnnualPremium,ClaimLimit,AnnualClaimLimit,ExcessLimit,ExcessCoPaymentLimit,UkOnlyCallCentres,DeathByAccident,BoardingFees,LostOrStolen,AdvertisingLimit,ThirdPartyLiability,ThirdPartyLiabilityExcess,HourClaimsService24,VetAdviceLine,LegalAdvice,CoverCategory,CoverStartDate,BereavementCounselling,DeathByIllness,QuarantineCosts,LossOfPetPassport,SetUpFees,AdjustmentFee,DuplicateDocumentsFee,CancellationFee,RenewalFee,TimeStamp,VetFees,VetFeesExcess,MonthlyPremiumInstalment,NumberOfMonthlyInstalments,InstalmentDeposit
282047537,FIX3946,Animal Friends,Dog,112.68,No limit,"£3,000",£199,N/A,True,£600,£600,£600,£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,£600,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £3,000 yearly limit",You'll pay £199 per condition per year,9.39,12,0
282047538,FIX3946,Animal Friends,Dog,147.48,No limit,"£5,000",£249,N/A,True,"£1,200","£1,200","£1,200",£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,"£1,200",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £5,000 yearly limit",You'll pay £249 per condition per year,12.29,12,0
282047539,FIX3946,Animal Friends,Dog,72.72,No limit,"£1,000",£159,N/A,True,£600,£600,£600,£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,£600,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £1,000 yearly limit",You'll pay £159 per condition per year,6.06,12,0
282047540,FIX3946,Animal Friends,Dog,98.76,No limit,"£2,000",£199,N/A,True,£600,£600,£600,£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,£600,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £2,000 yearly limit",You'll pay £199 per condition per year,8.23,12,0
282047541,FIX3946,Animal Friends,Dog,97.68,"£1,000",Unlimited,£99,N/A,True,£500,£500,£500,£200,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £1,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,8.14,12,0
282047542,FIX3946,Agria Lifetime,Dog,279.01,No limit,"£6,500",£105,20%,True,False,False,False,"£1,000","£2,000,000",£250,False,True,False,Lifetime,2024-11-10,False,False,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £6,500 yearly limit",You'll pay both £105 per condition per year & 20% of the remaining claim,23.26,12,0
282047543,FIX3946,Agria Lifetime,Dog,222.43,No limit,"£6,500",£170,20%,True,False,False,False,"£1,000","£2,000,000",£250,False,True,False,Lifetime,2024-11-10,False,False,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £6,500 yearly limit",You'll pay both £170 per condition per year & 20% of the remaining claim,18.54,12,0
282047544,FIX3946,Agria Lifetime,Dog,364.22,No limit,"£12,500",£105,20%,True,False,False,False,"£1,500","£3,000,000",£250,False,True,False,Lifetime,2024-11-10,False,False,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £12,500 yearly limit",You'll pay both £105 per condition per year & 20% of the remaining claim,30.37,12,0
282047545,FIX3946,Agria Lifetime,Dog,290.44,No limit,"£12,500",£170,20%,True,False,False,False,"£1,500","£3,000,000",£250,False,True,False,Lifetime,2024-11-10,False,False,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £12,500 yearly limit",You'll pay both £170 per condition per year & 20% of the remaining claim,24.24,12,0
282047546,FIX3946,Argos,Dog,105.24,"£2,500",Unlimited,£99,N/A,True,£250,£150,£250,£250,"£2,000,000",£100,True,True,False,Time Limited,2024-11-10,True,£250,£150,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,500 per condition with unlimited number of conditions",You'll pay £99 per condition,8.77,12,0
282047547,FIX3946,Argos,Dog,88.8,No limit,"£1,000",£99,N/A,True,£750,£500,£750,£750,"£2,000,000",£100,True,True,False,Lifetime,2024-11-10,True,£750,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £1,000 yearly limit",You'll pay £99 per condition per year,7.4,12,0
282047548,FIX3946,Argos,Dog,117.24,No limit,"£2,000",£99,N/A,True,£750,£500,£750,£750,"£2,000,000",£100,True,True,False,Lifetime,2024-11-10,True,£750,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £2,000 yearly limit",You'll pay £99 per condition per year,9.77,12,0
282047549,FIX3946,Argos,Dog,139.32,No limit,"£3,500",£99,N/A,True,£750,£500,£750,£750,"£2,000,000",£100,True,True,False,Lifetime,2024-11-10,True,£750,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £3,500 yearly limit",You'll pay £99 per condition per year,11.61,12,0
282047550,FIX3946,Argos,Dog,178.44,No limit,"£4,500",£99,N/A,True,£750,£500,£750,£750,"£2,000,000",£100,True,True,False,Lifetime,2024-11-10,True,£750,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £4,500 yearly limit",You'll pay £99 per condition per year,14.87,12,0
282047551,FIX3946,Argos,Dog,228.96,No limit,"£7,000",£99,N/A,True,"£1,500","£1,000","£1,500","£1,000","£2,000,000",£100,True,True,False,Lifetime,2024-11-10,True,"£1,500","£1,500",£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £7,000 yearly limit",You'll pay £99 per condition per year,19.08,12,0
282047552,FIX3946,Argos,Dog,109.92,"£2,000",Unlimited,£99,N/A,True,£750,£500,£750,£750,"£2,000,000",£100,True,True,False,Max Benefit,2024-11-10,True,£750,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,9.16,12,0
282047553,FIX3946,Cover My,Dog,154.78,"£3,000",Unlimited,£50,15%,True,£500,False,£500,False,"£1,000,000",£250,False,False,False,Time Limited,2024-11-10,False,£500,False,False,0,5,0,0,10,2024-11-09 00:23:14,"Covered for up to £3,000 per condition with unlimited number of conditions",You'll pay both £50 per condition & 15% of the remaining claim,12.89,11,12.99
282047554,FIX3946,Cover My,Dog,217.26,"£4,000",Unlimited,£50,15%,True,£500,False,£500,False,"£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,£500,False,False,0,5,0,0,10,2024-11-09 00:23:14,"Covered for up to £4,000 per condition with unlimited number of conditions",You'll pay both £50 per condition & 15% of the remaining claim,18.1,11,18.16
282047555,FIX3946,Cover My,Dog,165.49,No limit,"£2,000",£50,15%,True,£750,False,£750,False,"£1,000,000",£250,False,False,False,Lifetime,2024-11-10,False,£750,False,False,0,5,0,0,10,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £2,000 yearly limit",You'll pay both £50 per condition & 15% of the remaining claim,13.79,11,13.8
282047556,FIX3946,Cover My,Dog,399.21,No limit,"£10,000",£50,15%,True,"£1,000",False,"£1,000",False,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,5,0,0,10,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £10,000 yearly limit",You'll pay both £50 per condition & 15% of the remaining claim,33.26,11,33.35
282047557,FIX3946,Cover My,Dog,256.3,No limit,"£5,000",£50,15%,True,"£1,000",False,"£1,000",False,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,5,0,0,10,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £5,000 yearly limit",You'll pay both £50 per condition & 15% of the remaining claim,21.35,11,21.45
282047558,FIX3946,EveryPaw,Dog,71.76,"£1,000",Unlimited,£135,N/A,True,£500,£500,£500,£500,"£1,000,000",£250,True,True,False,Time Limited,2024-11-10,True,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 per condition with unlimited number of conditions",You'll pay £135 per condition,5.98,12,0
282047559,FIX3946,EveryPaw,Dog,86.88,"£2,000",Unlimited,£135,N/A,True,£500,£500,£500,£500,"£1,000,000",£250,True,True,False,Time Limited,2024-11-10,True,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,000 per condition with unlimited number of conditions",You'll pay £135 per condition,7.24,12,0
282047560,FIX3946,EveryPaw,Dog,121.8,"£4,000",Unlimited,£135,N/A,True,£500,£500,£500,£500,"£1,000,000",£250,True,True,False,Time Limited,2024-11-10,True,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £4,000 per condition with unlimited number of conditions",You'll pay £135 per condition,10.15,12,0
282047561,FIX3946,EveryPaw,Dog,82.44,"£1,000",Unlimited,£135,N/A,True,£500,£500,£500,£500,"£2,000,000",£250,True,True,False,Max Benefit,2024-11-10,True,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 per condition with unlimited number of conditions",You'll pay £135 per condition,6.87,12,0
282047562,FIX3946,EveryPaw,Dog,90.36,No limit,"£1,000",£135,N/A,True,£750,£750,£750,£750,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,£750,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £1,000 yearly limit",You'll pay £135 per condition per year,7.53,12,0
282047563,FIX3946,EveryPaw,Dog,122.16,No limit,"£2,000",£135,N/A,True,£750,£750,£750,£750,"£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,£750,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £2,000 yearly limit",You'll pay £135 per condition per year,10.18,12,0
282047564,FIX3946,EveryPaw,Dog,146.88,No limit,"£3,000",£135,N/A,True,"£1,500","£1,500","£1,500","£1,500","£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,"£1,500",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £3,000 yearly limit",You'll pay £135 per condition per year,12.24,12,0
282047565,FIX3946,EveryPaw,Dog,165.48,No limit,"£4,000",£135,N/A,True,"£1,500","£1,500","£1,500","£1,500","£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,"£1,500",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £4,000 yearly limit",You'll pay £135 per condition per year,13.79,12,0
282047566,FIX3946,EveryPaw,Dog,180,No limit,"£5,000",£135,N/A,True,"£1,500","£1,500","£1,500","£1,500","£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,"£1,500",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £5,000 yearly limit",You'll pay £135 per condition per year,15,12,0
282047567,FIX3946,EveryPaw,Dog,200.52,No limit,"£6,000",£135,N/A,True,"£2,000","£2,000","£2,000","£2,000","£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,"£2,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £6,000 yearly limit",You'll pay £135 per condition per year,16.71,12,0
282047568,FIX3946,EveryPaw,Dog,215.4,No limit,"£7,000",£135,N/A,True,"£2,000","£2,000","£2,000","£2,000","£2,000,000",£250,True,True,False,Lifetime,2024-11-10,True,"£2,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £7,000 yearly limit",You'll pay £135 per condition per year,17.95,12,0
282047569,FIX3946,Frank Lifetime 1000,Dog,85.92,"£1,000",Unlimited,£99,N/A,True,"£1,000",False,"£1,000",£200,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £1,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,7.16,12,0
282047570,FIX3946,Frank Lifetime 2000,Dog,151.92,"£2,000",Unlimited,£99,N/A,True,"£1,000",False,"£1,000",£200,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £2,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,12.66,12,0
282047571,FIX3946,Frank Lifetime 3000,Dog,187.92,"£3,000",Unlimited,£99,N/A,True,"£1,000",False,"£1,000",£200,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £3,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,15.66,12,0
282047572,FIX3946,Frank Lifetime 4000,Dog,227.28,"£4,000",Unlimited,£99,N/A,True,"£1,000",False,"£1,000",£200,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £4,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,18.94,12,0
282047573,FIX3946,Frank Lifetime 5000,Dog,259.44,"£5,000",Unlimited,£99,N/A,True,"£1,000",False,"£1,000",£200,"£2,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £5,000 per condition with unlimited number of conditions",You'll pay £99 per condition per year,21.62,12,0
282047574,FIX3946,Healthy Pets,Dog,310.28,"£1,000",Unlimited,£125,N/A,True,False,False,False,False,"£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,False,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 per condition with unlimited number of conditions",You'll pay £125 per condition per year,25.86,12,0
282047575,FIX3946,Healthy Pets,Dog,483.46,"£4,250",Unlimited,£125,N/A,True,£500,£500,£500,£500,"£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £4,250 per condition with unlimited number of conditions",You'll pay £125 per condition per year,40.29,12,0
282047576,FIX3946,Healthy Pets,Dog,701.02,"£7,500",Unlimited,£125,N/A,True,"£1,000","£1,000","£1,000","£1,000","£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £7,500 per condition with unlimited number of conditions",You'll pay £125 per condition per year,58.42,12,0
282047577,FIX3946,Healthy Pets,Dog,147.22,"£1,000",No,£125,N/A,True,False,False,False,False,"£1,000,000",£250,False,False,False,Accident Only,2024-11-10,False,False,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 for each accident with no yearly limit",You'll pay £125 per accident per year,12.27,12,0
282047578,FIX3946,Healthy Pets,Dog,304.32,"£1,000","£2,000",£125,N/A,True,£500,£500,£500,£500,"£1,000,000",£250,False,False,False,Lifetime,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £1,000 per condition with £2,000 yearly limit",You'll pay £125 per condition per year,25.36,12,0
282047579,FIX3946,Healthy Pets,Dog,565.05,"£3,250","£4,250",£125,N/A,True,"£1,000","£1,000","£1,000","£1,000","£1,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to £3,250 per condition with £4,250 yearly limit",You'll pay £125 per condition per year,47.09,12,0
282047580,FIX3946,TIE,Dog,53.33,"£2,500",No,£75,N/A,True,False,False,False,False,False,False,False,False,False,Accident Only,2024-11-10,False,False,False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,500 for each accident with no yearly limit",You'll pay £75 per accident,5.87,12,0
282047581,FIX3946,TIE,Dog,92.62,"£1,000",Unlimited,£155,N/A,True,£750,£500,£750,£600,"£1,000,000",£250,False,False,False,Time Limited,2024-11-10,False,£750,False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,000 per condition with unlimited number of conditions",You'll pay £155 per condition,10.19,12,0
282047582,FIX3946,TIE,Dog,170.62,"£3,500",Unlimited,£155,N/A,True,"£1,000",£750,"£1,000",£650,"£1,000,000",£250,False,False,False,Time Limited,2024-11-10,False,"£1,000",False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £3,500 per condition with unlimited number of conditions",You'll pay £155 per condition,18.77,12,0
282047583,FIX3946,TIE,Dog,212.61,"£5,000",Unlimited,£155,N/A,True,"£1,250","£1,000","£1,250",£700,"£1,000,000",£250,False,False,False,Time Limited,2024-11-10,False,"£1,250",False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £5,000 per condition with unlimited number of conditions",You'll pay £155 per condition,23.39,12,0
282047584,FIX3946,TIE,Dog,130.26,"£1,500",Unlimited,£155,N/A,True,£750,£500,£750,£600,"£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,£750,False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £1,500 per condition with unlimited number of conditions",You'll pay £155 per condition,14.33,12,0
282047585,FIX3946,TIE,Dog,197.89,"£4,000",Unlimited,£155,N/A,True,"£1,000",£750,"£1,000",£650,"£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,"£1,000",False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £4,000 per condition with unlimited number of conditions",You'll pay £155 per condition,21.77,12,0
282047586,FIX3946,TIE,Dog,261.97,"£6,000",Unlimited,£155,N/A,True,"£1,250","£1,000","£1,250",£700,"£1,000,000",£250,False,False,False,Max Benefit,2024-11-10,False,"£1,250",False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered for up to £6,000 per condition with unlimited number of conditions",You'll pay £155 per condition,28.82,12,0
282047587,FIX3946,TIE,Dog,167.07,"£2,000",Unlimited,£175,5%,True,£750,£500,£750,£600,"£1,000,000",£250,False,False,False,Lifetime,2024-11-10,False,£750,False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered each year up to £2,000 per condition with unlimited number of conditions",You'll pay both £175 per condition per year & 5% of the remaining claim,18.38,12,0
282047588,FIX3946,TIE,Dog,246.88,"£4,500",Unlimited,£175,5%,True,"£1,000",£750,"£1,000",£650,"£1,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered each year up to £4,500 per condition with unlimited number of conditions",You'll pay both £175 per condition per year & 5% of the remaining claim,27.16,12,0
282047589,FIX3946,TIE,Dog,299.24,"£6,500",Unlimited,£175,5%,True,"£1,250","£1,000","£1,250",£700,"£1,000,000",£250,False,False,False,Lifetime,2024-11-10,False,"£1,250",False,False,0,10,0,0,0,2024-11-09 00:23:14,"Covered each year up to £6,500 per condition with unlimited number of conditions",You'll pay both £175 per condition per year & 5% of the remaining claim,32.92,12,0
282047590,FIX3946,Insure Your Paws,Dog,136.79,"£2,000",Unlimited,£150,N/A,False,£500,£750,£750,£750,"£1,000,000",£250,False,True,False,Max Benefit,2024-11-10,False,£500,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £2,000 per condition with unlimited number of conditions",You'll pay £150 per condition,11.4,12,0
282047591,FIX3946,Insure Your Paws,Dog,165.45,"£4,000",Unlimited,£150,N/A,False,£500,£750,£750,£750,"£1,000,000",£250,False,True,False,Max Benefit,2024-11-10,False,£500,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £4,000 per condition with unlimited number of conditions",You'll pay £150 per condition,13.79,12,0
282047592,FIX3946,Insure Your Paws,Dog,198.77,"£6,000",Unlimited,£150,N/A,False,£500,£750,£750,£750,"£1,000,000",£250,False,True,False,Max Benefit,2024-11-10,False,£500,£500,£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered for up to £6,000 per condition with unlimited number of conditions",You'll pay £150 per condition,16.56,12,0
282047593,FIX3946,Insure Your Paws,Dog,205.24,No limit,"£5,000",£150,N/A,False,"£1,500","£1,250","£1,500","£1,500","£2,000,000",£250,False,True,False,Lifetime,2024-11-10,False,"£1,500","£1,000",£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £5,000 yearly limit",You'll pay £150 per condition per year,17.1,12,0
282047594,FIX3946,Insure Your Paws,Dog,230.34,No limit,"£7,500",£150,N/A,False,"£1,500","£1,250","£1,500","£1,500","£2,000,000",£250,False,True,False,Lifetime,2024-11-10,False,"£1,500","£1,000",£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £7,500 yearly limit",You'll pay £150 per condition per year,19.19,12,0
282047595,FIX3946,Insure Your Paws,Dog,261.45,No limit,"£10,000",£150,N/A,False,"£1,500","£1,250","£1,500","£1,500","£2,000,000",£250,False,True,False,Lifetime,2024-11-10,False,"£1,500","£1,000",£250,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £10,000 yearly limit",You'll pay £150 per condition per year,21.79,12,0
282047596,FIX3946,Lifetime Pet,Dog,219.08,No limit,"£2,000",£199,N/A,True,£500,False,False,False,"£1,000,000",£250,False,True,False,Lifetime,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £2,000 yearly limit",You'll pay £199 per condition per year,18.25,11,18.33
282047597,FIX3946,Lifetime Pet,Dog,251.14,No limit,"£3,000",£199,N/A,True,£500,False,False,False,"£1,000,000",£250,False,True,False,Lifetime,2024-11-10,False,£500,False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £3,000 yearly limit",You'll pay £199 per condition per year,20.92,11,21.02
282047598,FIX3946,Lifetime Pet,Dog,271.8,No limit,"£4,000",£199,N/A,True,"£1,000",False,False,False,"£1,000,000",£250,False,True,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £4,000 yearly limit",You'll pay £199 per condition per year,22.65,11,22.65
282047599,FIX3946,Lifetime Pet,Dog,319.4,No limit,"£6,000",£199,N/A,True,"£1,000",False,False,False,"£1,000,000",£250,False,True,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £6,000 yearly limit",You'll pay £199 per condition per year,26.61,11,26.69
282047600,FIX3946,Lifetime Pet,Dog,406.27,No limit,"£10,000",£199,N/A,True,"£1,000",False,False,False,"£1,000,000",£250,False,True,False,Lifetime,2024-11-10,False,"£1,000",False,False,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £10,000 yearly limit",You'll pay £199 per condition per year,33.85,11,33.92
282047601,FIX3946,LV,Dog,143.92,No limit,"£3,000",£75,N/A,True,"£1,500","£1,500","£1,500","£1,500","£2,000,000",£250,False,True,True,Lifetime,2024-11-10,True,"£1,500","£2,500",£500,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £3,000 yearly limit",You'll pay £75 per condition per year,11.99,12,0
282047602,FIX3946,LV,Dog,200.88,No limit,"£5,000",£75,N/A,True,"£1,500","£1,500","£1,500","£1,500","£2,000,000",£250,False,True,True,Lifetime,2024-11-10,True,"£1,500","£2,500",£500,0,0,0,0,0,2024-11-09 00:23:14,"Covered each year up to no limit per condition with £5,000 yearly limit",You'll pay £75 per condition per year,16.74,12,0
